iter	Logloss
0	0.6792883674
1	0.6697409487
2	0.6602132317
3	0.6526398339
4	0.6474544643
5	0.6428804777
6	0.6385408241
7	0.6356655881
8	0.6328983755
9	0.6299254852
10	0.6279155194
11	0.6260514476
12	0.6241151979
13	0.6231048007
14	0.6219607959
15	0.6209911042
16	0.6202403737
17	0.6192198104
18	0.6185484421
19	0.6179546379
20	0.6174874301
21	0.6168915795
22	0.6162543801
23	0.6158206637
24	0.615408164
25	0.6150141654
26	0.6146856817
27	0.614592423
28	0.6141509802
29	0.6138169516
30	0.6136000754
31	0.6132860892
32	0.6129984447
33	0.6127878526
34	0.612577916
35	0.6124059328
36	0.6121744343
37	0.6120213094
38	0.6118974174
39	0.6117855986
40	0.6116637376
41	0.6115180994
42	0.6114019945
43	0.6112615324
44	0.6111482635
45	0.6109837442
46	0.6107768399
47	0.6106424718
48	0.6105778695
49	0.6105533708
50	0.6104783998
51	0.6103169525
52	0.6102409545
53	0.6102083556
54	0.6101977207
55	0.6101098525
56	0.610047977
57	0.6099719289
58	0.609873662
59	0.6098512414
60	0.6096824899
61	0.6094960899
62	0.609496044
63	0.6094934428
64	0.6094181557
65	0.6093030691
66	0.6092864251
67	0.6092346918
68	0.6092222247
69	0.6090905449
70	0.6089708305
71	0.6088887291
72	0.6087689095
73	0.6087548815
74	0.6086505354
75	0.6086440797
76	0.6085182277
77	0.6083637462
78	0.6083151472
79	0.6082805815
80	0.6082261972
81	0.6080699891
82	0.6080015851
83	0.6078660474
84	0.6078023345
85	0.6076915003
86	0.6076000364
87	0.6075600528
88	0.6074595934
89	0.60738293
90	0.6073106199
91	0.6072634172
92	0.6071941246
93	0.6071945095
94	0.6071477831
95	0.6071030384
96	0.6070087767
97	0.6069855495
98	0.6069108916
99	0.6069004514
100	0.6068477268
101	0.6068152951
102	0.6067733227
103	0.6067166915
104	0.6067030957
105	0.6066579392
106	0.6065675881
107	0.6064960631
108	0.6064343189
109	0.6063802402
110	0.6063052991
111	0.6062180181
112	0.6061337725
113	0.6061037148
114	0.6060384643
115	0.6060342799
116	0.6059797803
117	0.6059270206
118	0.6058712538
119	0.6058029456
120	0.6057822327
121	0.6057143241
122	0.6056270553
123	0.6055546542
124	0.6054750918
125	0.6054022388
126	0.6053140792
127	0.6051665571
128	0.6051134449
129	0.6050611847
130	0.6049764651
131	0.6049540901
132	0.6048964164
133	0.6048676099
134	0.6047884544
135	0.6047312423
136	0.6046943371
137	0.6046311654
138	0.6045887076
139	0.6045432294
140	0.6045186708
141	0.6044871849
142	0.6044579582
143	0.6043996973
144	0.6043314745
145	0.6043160024
146	0.6042332322
147	0.6041360556
148	0.6040814792
149	0.6040518945
150	0.6040141058
151	0.6039870298
152	0.6039474654
153	0.6038986725
154	0.603797678
155	0.6037284197
156	0.6036891017
157	0.6036434261
158	0.6035628688
159	0.6035311016
160	0.6035129802
161	0.6034782496
162	0.603375764
163	0.6033529894
164	0.6033096791
165	0.603265559
166	0.6032427779
167	0.603222963
168	0.6032032722
169	0.6031704708
170	0.6031307676
171	0.6030972799
172	0.6030200409
173	0.6029721348
174	0.6029213439
175	0.6028805961
176	0.6028708103
177	0.6028014887
178	0.6027703166
179	0.6027378558
180	0.6026663345
181	0.6025579919
182	0.6025076932
183	0.6024702633
184	0.6024570702
185	0.6024426564
186	0.6024106725
187	0.6023126205
188	0.6022963898
189	0.6022442821
190	0.602189891
191	0.6021610851
