mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.5950580437978109,0.05618161820743808,0.042119344075520836,0.0015186610516401545,0.01,3,100,0.7,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",0.7133906703878795,0.7152845019080708,0.7154553739249302,0.7147101820736269,0.0009356397555164092,53
0.6095130443572998,0.08159539271434901,0.06015610694885254,0.013046783984234379,0.01,3,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.7133906703878795,0.7152845019080708,0.7154553739249302,0.7147101820736269,0.0009356397555164092,53
1.13454802831014,0.09347495779003523,0.05279986063639323,0.004045025587834195,0.01,3,200,0.7,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",0.7134476277268326,0.715341459247024,0.7154553739249302,0.7147481536329289,0.0009207858465395759,51
0.7674652735392252,0.0232846042056133,0.05820504824320475,0.0032249874701352254,0.01,3,200,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.7134476277268326,0.7153272199122857,0.7154553739249302,0.7147434071880161,0.0009177469410674931,52
2.4170645078023276,0.10782053709658494,0.0793169339497884,0.0017297360458465307,0.01,3,500,0.7,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.7}",0.7173919234493364,0.719698695676938,0.7184741128894458,0.7185215773385734,0.0009423336928274421,33
1.5866453647613525,0.08828085434738216,0.08729251225789388,0.008280514441610081,0.01,3,500,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 1.0}",0.7173919234493364,0.7194993449906021,0.7186022669020903,0.7184978451140096,0.0008635138757877943,34
0.7199869950612386,0.03508777566684451,0.050140698750813804,0.004798021127836701,0.01,5,100,0.7,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.7}",0.7136042604089536,0.7154838525944068,0.7157259212849576,0.7149380114294394,0.0009482679477943852,49
0.4959603150685628,0.01657758700152706,0.051648616790771484,0.0008575892980863984,0.01,5,100,1.0,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.713618499743692,0.7153984165859771,0.7155977672723131,0.7148715612006606,0.0008897780379552166,50
1.4173356691996257,0.044049120861947906,0.06942319869995117,0.007809985463366067,0.01,5,200,0.7,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.7}",0.7174061627840748,0.7199834823717036,0.7190152076095004,0.7188016175884263,0.001062970550554966,29
0.8766602675120035,0.1045819101658504,0.06691511472066243,0.015056773887587756,0.01,5,200,1.0,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.7174631201230278,0.7197129350116762,0.7188443355926412,0.7186734635757817,0.000926396133017693,31
