mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.7973217964172363,0.004585690681675562,0.24347750345865884,0.00805172904788101,0.01,3,100,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.296132641478839,0.3030646992054484,0.29693137135676356,0.29870957068035037,0.0030967564436642915,27
4.70972204208374,0.6055469358326075,0.48965056737263996,0.02153871476076063,0.01,3,200,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.29629479487595267,0.30322685260256205,0.29693137135676356,0.2988176729450928,0.003128573300282535,26
10.499307552973429,0.3886490722626861,1.1466673215230305,0.056735619561187035,0.01,3,500,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",0.3282390141073456,0.33411707475271607,0.32871214885078437,0.3303560792369487,0.002666430769596827,22
3.7253171602884927,0.4649756791643173,0.3600629170735677,0.004450546962372668,0.01,5,100,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.2969434084644073,0.30379438949245985,0.29745834853459807,0.2993987154971551,0.003115311993334534,25
5.620750427246094,0.2151779637771318,0.7636500199635824,0.1090386017508532,0.01,5,200,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.3246716393708448,0.33387384465704556,0.33150918156390613,0.3300182218639322,0.003901911168692857,23
14.3660728931427,0.8569968836026255,2.1497675577799478,0.41493285126056045,0.01,5,500,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}",0.35223771688016864,0.3642370682665802,0.36300620211601603,0.359826995754255,0.0053899055799794746,17
5.449471791585286,0.4456916152967995,1.321969747543335,0.12044916202927577,0.01,9,100,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100}",0.31441543700340524,0.32771201556672613,0.31930763306173743,0.32047836187728956,0.0054910657643311425,24
10.809870958328247,1.3343295501144068,2.326169808705648,0.2526557427657044,0.01,9,200,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200}",0.3470082698232528,0.34927841738284415,0.35206129149945276,0.3494493262351832,0.002066424350077947,20
22.209646383921307,0.8903442588661745,4.65676744778951,0.46024946277019557,0.01,9,500,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500}",0.3600616182909032,0.37700664828928165,0.36653289553690865,0.3678670540390312,0.006981809440399417,12
3.4776664574941,0.6325803752427652,0.28900941212972003,0.0400042472378046,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.34360304848386575,0.35183233338738445,0.3408731606469658,0.34543618083940536,0.0046580501974737825,21
4.708502848943074,0.23801192049378905,0.5026841958363851,0.051534366623613236,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.35199448678449813,0.35410248094697583,0.35704730633588716,0.3543814246891204,0.0020722135609352647,18
10.03133225440979,0.32680482020500884,1.1609775225321453,0.13046175021571255,0.1,3,500,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.36026431003729525,0.36460191341008596,0.36373586282378695,0.36286736209038944,0.0018742858013734921,15
