mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.2467099825541177,0.25235449655766057,0.18291648228963217,0.0034617510825753527,0.01,3,100,0.7,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",0.296132641478839,0.3030646992054484,0.29693137135676356,0.29870957068035037,0.0030967564436642915,53
1.953947941462199,0.23581130080637952,0.16794339815775552,0.007009617001046717,0.01,3,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.296132641478839,0.3030646992054484,0.29693137135676356,0.29870957068035037,0.0030967564436642915,53
6.048880020777385,0.5514434370854272,0.376754363377889,0.04923859553726369,0.01,3,200,0.7,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",0.29629479487595267,0.30318631425328363,0.29693137135676356,0.29880416016199995,0.0031095297890834533,52
3.3536574045817056,0.15333094602584213,0.34978516896565753,0.007626236314892558,0.01,3,200,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.29629479487595267,0.30322685260256205,0.29693137135676356,0.2988176729450928,0.003128573300282535,51
19.832952817281086,2.288256065670045,1.166008710861206,0.01942666073823856,0.01,3,500,0.7,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.7}",0.3283200908059024,0.33407653640343765,0.3271717540232681,0.32985612707753603,0.0030208785146273415,46
10.335498889287313,0.6336037937387632,1.077982981999715,0.03471731804200257,0.01,3,500,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 1.0}",0.3282390141073456,0.33411707475271607,0.32871214885078437,0.3303560792369487,0.002666430769596827,44
5.484013795852661,0.1588456022234071,0.6033767064412435,0.15467300449870075,0.01,5,100,0.7,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.7}",0.2969434084644073,0.30355115939678934,0.29835015606631804,0.2996149079758382,0.0028419818367441075,49
3.196072260538737,0.4107046253801941,0.44152021408081055,0.025165793672925037,0.01,5,100,1.0,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.2969434084644073,0.30379438949245985,0.29745834853459807,0.2993987154971551,0.003115311993334534,50
9.550496737162272,0.1708638936589215,0.6849007606506348,0.010455274978543126,0.01,5,200,0.7,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.7}",0.32730663207394195,0.33731960434571107,0.335522315456646,0.33338285062543305,0.004358737259941405,43
6.37895393371582,0.7061155755339139,0.7927674452463785,0.08239025890449873,0.01,5,200,1.0,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.3246716393708448,0.33387384465704556,0.33150918156390613,0.3300182218639322,0.003901911168692857,45
24.973232984542847,0.9442077755971746,1.8124309380849202,0.07212761374764942,0.01,5,500,0.7,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500, 'subsample': 0.7}",0.3526025620236744,0.3656559104913248,0.3598038023430216,0.3593540916193403,0.0053384864494051215,34
13.795607010523478,0.38631809105123976,1.994466781616211,0.20492114168929845,0.01,5,500,1.0,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500, 'subsample': 1.0}",0.35223771688016864,0.3642370682665802,0.36300620211601603,0.359826995754255,0.0053899055799794746,33
6.7908235390981035,0.6573015015593812,0.9834803740183512,0.12797046325467207,0.01,9,100,0.7,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100, 'subsample': 0.7}",0.3157937408788714,0.32690124858115777,0.32149661518505007,0.3213972015483597,0.00453516586557814,47
5.085984071095784,0.4554501052930537,0.885738213857015,0.0896422432013721,0.01,9,100,1.0,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100, 'subsample': 1.0}",0.31441543700340524,0.32771201556672613,0.31930763306173743,0.32047836187728956,0.0054910657643311425,48
13.635638316472372,0.8250844603553409,2.5090219179789224,0.5414420820832316,0.01,9,200,0.7,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200, 'subsample': 0.7}",0.34672450137830385,0.35389978920058374,0.35323685597308363,0.35128704885065704,0.0032375401870492673,39
9.467777093251547,0.4269033015205253,2.1355202198028564,0.4926333315215853,0.01,9,200,1.0,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200, 'subsample': 1.0}",0.3470082698232528,0.34927841738284415,0.35206129149945276,0.3494493262351832,0.002066424350077947,41
33.55112902323405,1.9002760030940968,4.1269040902455645,0.09202658013445082,0.01,9,500,0.7,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500, 'subsample': 0.7}",0.36488568185503484,0.37635803470082696,0.36547894118123964,0.3689075525790338,0.005273850714762522,23
21.837301810582478,0.17779940593868884,4.4823317527771,0.1689968883924465,0.01,9,500,1.0,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500, 'subsample': 1.0}",0.3600616182909032,0.37700664828928165,0.36653289553690865,0.3678670540390312,0.006981809440399417,25
5.222625335057576,0.4974204755810805,0.2762313683827718,0.03689319363883437,0.1,3,100,0.7,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",0.3435219717853089,0.3598589265445111,0.3454132717175402,0.3495980566824534,0.007296498776946729,40
2.50394868850708,0.07390580374401656,0.2904651959737142,0.03933990086349382,0.1,3,100,1.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.34360304848386575,0.35183233338738445,0.3408731606469658,0.34543618083940536,0.0046580501974737825,42
8.754362185796102,0.06917452953008958,0.4438001314798991,0.030436318437205716,0.1,3,200,0.7,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",0.3528052537700665,0.3626966109940003,0.35449349385868906,0.35666511954091856,0.0043202396160904565,35
4.386433839797974,0.5358785368564523,0.5110735098520914,0.0472999469979352,0.1,3,200,1.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.35199448678449813,0.35410248094697583,0.35704730633588716,0.3543814246891204,0.0020722135609352647,37
19.706798553466797,0.6409204473363933,1.279469648996989,0.06949022475182544,0.1,3,500,0.7,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.7}",0.3603048483865737,0.3686557483379277,0.364343913413596,0.3644348367126991,0.00340984679852541,28
9.3675746122996,0.11439155495114055,1.9339142640431721,0.4592290525203638,0.1,3,500,1.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500, 'subsample': 1.0}",0.36026431003729525,0.36460191341008596,0.36373586282378695,0.36286736209038944,0.0018742858013734921,31
4.552963177363078,0.10413474759696484,0.4119390646616618,0.04989085802377873,0.1,5,100,0.7,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.7}",0.3595346197502838,0.3690611318307119,0.36454659694353236,0.3643807828415093,0.0038909492279697753,29
4.223309914271037,0.1332574338889179,0.4386007785797119,0.08650015108239255,0.1,5,100,1.0,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.36366953137668234,0.3682503648451435,0.36726255624467957,0.3663941508221685,0.00196835037528527,27
11.07917324701945,2.367246454004664,0.7295666535695394,0.017475882375910766,0.1,5,200,0.7,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.7}",0.3677639046538025,0.37615534295443487,0.365681624711176,0.3698669574398044,0.004527090067974233,20
6.834916512171428,1.6583978497443388,0.7159823576609293,0.008388848965904815,0.1,5,200,1.0,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.36748013620885356,0.37112858764391116,0.36839758401232314,0.3690021026216959,0.0015495981264620382,22
25.98832869529724,1.0984213576888089,2.056084394454956,0.2587001581939656,0.1,5,500,0.7,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500, 'subsample': 0.7}",0.3676017512566888,0.37907410410248094,0.37026227248773763,0.3723127092823024,0.0049028521115073165,2
11.854113101959229,2.1999643466713743,1.9825923442840576,0.16315508017017186,0.1,5,500,1.0,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500, 'subsample': 1.0}",0.36727744446246147,0.37534457596886656,0.3693299282500304,0.37065064956045285,0.0034232422516537646,17
8.585078318913778,0.576850113172719,1.1918323834737141,0.28118654986497743,0.1,9,100,0.7,"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100, 'subsample': 0.7}",0.3642776066158586,0.38101994486784496,0.37099193319550855,0.37209649489307073,0.006879511365582701,3
4.186712980270386,0.3455110293270971,1.009660800298055,0.06328902343754038,0.1,9,100,1.0,"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100, 'subsample': 1.0}",0.36492622020431326,0.37765526187773635,0.3699785155458267,0.3708533325426255,0.005233297498668271,12
16.1506503423055,2.0650689630887995,2.046564261118571,0.17148023723670272,0.1,9,200,0.7,"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200, 'subsample': 0.7}",0.3663045240797795,0.37891195070536726,0.3675868498925777,0.3709344415592415,0.005665190729647881,9
9.88673480351766,1.2404820544702815,2.257740020751953,0.5732071944732974,0.1,9,200,1.0,"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200, 'subsample': 1.0}",0.3647235284579212,0.37781741527485,0.36953261177996677,0.3706911851709127,0.005407968640213031,15
35.4877253373464,2.7189129146756166,4.011753956476848,0.08463433827302924,0.1,9,500,0.7,"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500, 'subsample': 0.7}",0.36654775417545,0.37814172206907737,0.3705054927236613,0.37173165632272953,0.004811973313750858,5
18.587831020355225,1.797447738338876,3.72355318069458,0.4208480112033576,0.1,9,500,1.0,"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500, 'subsample': 1.0}",0.3656559104913248,0.37789849197340686,0.3702217357817504,0.3712587127488273,0.005051514047559788,7
5.672883590062459,0.4239677141652905,0.3582788308461507,0.10385374420190399,0.2,3,100,0.7,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",0.3516701799902708,0.3631425328360629,0.3494669423162674,0.3547598850475337,0.005995284370344032,36
3.1070966720581055,0.09999320533722021,0.45415886243184406,0.09365888856528481,0.2,3,100,1.0,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.35389978920058374,0.35268363872223124,0.35607442539219264,0.35421928443833584,0.0014025967501998327,38
10.267374992370605,0.7133715319078128,0.5792750517527262,0.09012694900059492,0.2,3,200,0.7,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",0.36395329982163127,0.3673179828117399,0.35769589363168347,0.3629890587550182,0.0039869345511848245,30
5.647565682729085,0.4603478269496881,0.6015346050262451,0.07057029204723601,0.2,3,200,1.0,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.3596156964488406,0.3650072969028701,0.36292512870404153,0.3625160406852508,0.002220038080651072,32
19.403015454610188,0.48076420321189656,1.304707368214925,0.16199027517752074,0.2,3,500,0.7,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.7}",0.3678449813523593,0.3758310361602076,0.3684786574242977,0.3707182249789549,0.0036245473255193186,14
